configuration_id,configuration,track,instance_id,family,params,reference_type,reference,valid,objective,relative_quality,source_file,source_sha256,source_line,source_pointer,source_configuration
qwen4,Qwen3.5-4B high,tool-free,capset-e561943a0230,capset,"{""d"": 10}",published,2432,True,1024,0.42105263157894735,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,2,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,capset-fb287354fb10,capset,"{""d"": 11}",published,5504,True,2048,0.37209302325581395,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,3,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,labs-8e3bca55269d,labs,"{""N"": 280}",construction,5.577689243027889,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,6,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,labs-0b0c9e75a95d,labs,"{""N"": 375}",construction,5.919058843336981,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,7,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,labs-69bcd35b5eda,labs,"{""N"": 357}",construction,5.862419503219871,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,8,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,labs-112648954874,labs,"{""N"": 281}",construction,5.65299255441008,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,11,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,labs-824c59888322,labs,"{""N"": 240}",construction,5.858421480878763,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,9,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,heilbronn-c4d41ce5a93d,heilbronn,"{""n"": 46}",construction,0.00047375,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,10,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,heilbronn-0c621382b805,heilbronn,"{""n"": 26}",construction,0.002620975,True,0.0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,12,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,heilbronn-a5c5c8aa2e3f,heilbronn,"{""n"": 40}",construction,0.0006907,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,15,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,heilbronn-d9588eea537f,heilbronn,"{""n"": 50}",construction,0.0002857,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,13,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,heilbronn-ce0964a3b547,heilbronn,"{""n"": 48}",construction,0.00037548,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,14,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,kissing-7c7466431087,kissing,"{""d"": 14}",published,1932,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,16,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,kissing-0e2702baa0cb,kissing,"{""d"": 15}",published,2564,True,420,0.16380655226209048,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,18,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,corners-5c0a651526bb,corners,"{""n"": 138}",construction,3120,True,1088,0.3487179487179487,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,21,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,corners-df38f45e8b38,corners,"{""n"": 183}",construction,4698,True,1068,0.227330779054917,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,22,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,corners-dce415bc82c9,corners,"{""n"": 150}",construction,3504,True,152,0.04337899543378995,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,23,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,corners-299b1caf450c,corners,"{""n"": 162}",construction,3888,True,640,0.1646090534979424,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,24,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,corners-b92c953c9648,corners,"{""n"": 185}",construction,4786,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,26,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,kissing_theta-48ea4a32bea2,kissing_theta,"{""cos100"": 24, ""d"": 12}",construction,28,True,24,0.8571428571428571,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,25,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,kissing_theta-88cc99fc7fbd,kissing_theta,"{""cos100"": 39, ""d"": 12}",construction,152,True,16,0.10526315789473684,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,27,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,kissing_theta-18c29aeaf14f,kissing_theta,"{""cos100"": 36, ""d"": 14}",construction,124,True,18,0.14516129032258066,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,28,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,kissing_theta-6cdc8634ec21,kissing_theta,"{""cos100"": 39, ""d"": 14}",construction,132,True,16,0.12121212121212122,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,29,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,kissing_theta-5c1803b86d2d,kissing_theta,"{""cos100"": 36, ""d"": 12}",construction,152,True,14,0.09210526315789473,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,30,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,heilbronn_shape-170f6064b3d7,heilbronn_shape,"{""T"": [[9026, 8197], [1769, 9178], [7298, 1276]], ""n"": 32}",construction,0.0014884960025223,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,31,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,heilbronn_shape-0cef36bc9728,heilbronn_shape,"{""T"": [[578, 9933], [8598, 7337], [2075, 588]], ""n"": 34}",construction,0.0010042824240598402,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,33,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,heilbronn_shape-0e86da8665f2,heilbronn_shape,"{""T"": [[411, 7999], [9004, 9890], [3031, 713]], ""n"": 31}",construction,0.0016863811501138092,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,36,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,heilbronn_shape-4efe4b6d2f48,heilbronn_shape,"{""T"": [[7922, 8793], [9917, 1548], [1510, 3942]], ""n"": 40}",construction,0.0005937004438679532,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,32,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,heilbronn_shape-7654620d3ab8,heilbronn_shape,"{""T"": [[526, 8526], [8696, 8279], [8084, 1688]], ""n"": 26}",construction,0.003982656623191187,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,37,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,matmul-ffd9b6a99452,matmul,"{""m"": 4, ""n"": 4, ""p"": 5}",published,61,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,34,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,matmul-7c87a93e97c3,matmul,"{""m"": 5, ""n"": 5, ""p"": 5}",published,93,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,38,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,degdiam-698a36ec659c,degdiam,"{""d"": 4, ""k"": 5}",published,364,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,39,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,degdiam-550afae4f1d9,degdiam,"{""d"": 7, ""k"": 3}",published,168,True,36,0.21428571428571427,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,40,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,degdiam-1bb88a3f7ec5,degdiam,"{""d"": 4, ""k"": 4}",published,104,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,42,,think-high@128k#A3
qwen4,Qwen3.5-4B high,tool-free,degdiam-69fe33ce30ae,degdiam,"{""d"": 3, ""k"": 7}",published,196,False,0,0.0,bench/results/Qwen_Qwen3.5-4B-think-high@128k#A3.jsonl,b6b6ce6129972039fa8db633de394013731aa3288186a8d44cdd7775f98bffbe,43,,think-high@128k#A3
